type,time,x,y
GROUND,1752846569.6112645,-0.08353280087321169,0.17681895352001653
GROUND,1752846569.6229603,-0.09030048325080031,0.18938992631068463
GROUND,1752846569.635012,-0.09701834817322341,0.20251496746964415
GROUND,1752846569.6472383,-0.10413226056817049,0.21669971327650805
GROUND,1752846569.65878,-0.11127098321523254,0.2303224740639792
GROUND,1752846569.6711426,-0.11871824956587673,0.2441770894314632
GROUND,1752846569.683321,-0.12612081277894482,0.2578657173239296
GROUND,1752846569.6950116,-0.1335832815283422,0.2709247645873186
GROUND,1752846569.707296,-0.14097225615173237,0.28418278923944273
GROUND,1752846569.7190762,-0.14834624675866603,0.29712948748675805
GROUND,1752846569.7312846,-0.15593119920689125,0.30987482385261833
GROUND,1752846569.7428563,-0.16333134836372665,0.3222398252465092
GROUND,1752846569.7550461,-0.1702998845767456,0.3331420640477145
GROUND,1752846569.7671905,-0.17747978564303768,0.3440188245533271
GROUND,1752846569.778874,-0.18435627561707246,0.3540554286952269
GROUND,1752846569.791211,-0.19076611652609543,0.3638006137633626
GROUND,1752846569.8033905,-0.1967321709827341,0.3726488679240497
GROUND,1752846569.8151681,-0.20244494094924015,0.38064229065433997
GROUND,1752846569.826838,-0.2077521275509131,0.38769178999175646
GROUND,1752846569.8390763,-0.2128181039483623,0.39395002743730645
GROUND,1752846569.8512666,-0.2177627343609556,0.3997340645711944
GROUND,1752846569.8629253,-0.22258803609597866,0.40500618115453524
GROUND,1752846569.8749158,-0.22689031385271896,0.4100242279063332
GROUND,1752846569.8870795,-0.23097156804437358,0.4147102716490825
GROUND,1752846569.8993063,-0.23485249969696476,0.4191426367187723
GROUND,1752846569.9112034,-0.23854978484139533,0.4236569152914732
GROUND,1752846569.9229255,-0.24192714538812776,0.42726219665094045
GROUND,1752846569.9352117,-0.24520874822667071,0.4306920273423831
GROUND,1752846569.9470434,-0.24815260023269392,0.43305626460906077
GROUND,1752846569.9592955,-0.25117963911497565,0.4351414601525966
GROUND,1752846569.9710374,-0.2541072120913568,0.4365056481944324
GROUND,1752846569.9832406,-0.25711307719865184,0.43738487893666134
GROUND,1752846569.995364,-0.25981506418249367,0.43754297948440934
GROUND,1752846570.0068166,-0.2626170046210663,0.43712147947913005
GROUND,1752846570.0190372,-0.2655659729859927,0.43607621953005715
GROUND,1752846570.0321755,-0.26876482399112556,0.4342516582204692
GROUND,1752846570.0433528,-0.2723331835999665,0.43162596020214494
GROUND,1752846570.0554512,-0.2758533431796151,0.4279818984786493
GROUND,1752846570.0675635,-0.27930080928336487,0.42353264792428236
GROUND,1752846570.0790756,-0.2829253992827563,0.41917965764046716
GROUND,1752846570.091237,-0.2864640225807702,0.415343746346053
GROUND,1752846570.1035397,-0.28954533282014916,0.41142177949151926
GROUND,1752846570.1151407,-0.2920742614223615,0.40809153974181445
GROUND,1752846570.127386,-0.29444747272367344,0.4054471048635794
GROUND,1752846570.1390328,-0.2965907860556749,0.4036891506223883
GROUND,1752846570.1512244,-0.2982725068165837,0.40191520397748204
GROUND,1752846570.1631832,-0.29951705999390565,0.4003709515964182
GROUND,1752846570.1748643,-0.30069153209261845,0.3992376918391549
GROUND,1752846570.1870282,-0.30169153459622455,0.3986071791799578
GROUND,1752846570.1992984,-0.3023853577134461,0.39798797783190676
GROUND,1752846570.2109776,-0.30305395097308896,0.39801024573554444
GROUND,1752846570.2233355,-0.3035209605632927,0.39770827739949444
GROUND,1752846570.234935,-0.3039472058075998,0.3974772506062513
GROUND,1752846570.2471662,-0.30441359064056206,0.3972571343417247
GROUND,1752846570.2588186,-0.30470554868993416,0.39688152562765144
GROUND,1752846570.2710369,-0.3049805731773203,0.3967716188673781
GROUND,1752846570.2834573,-0.3052300735885538,0.39676700026000655
GROUND,1752846570.2948232,-0.3054586903717782,0.3968409954337143
GROUND,1752846570.3069677,-0.30567910897772554,0.396688530488265
GROUND,1752846570.3192132,-0.3059566774624711,0.39657080695981173
GROUND,1752846570.3310735,-0.3062559860688907,0.3963670059081825
GROUND,1752846570.343133,-0.30652105316323786,0.3960880505244152
GROUND,1752846570.35513,-0.3067690388291666,0.3957268163260974
GROUND,1752846570.3673127,-0.307065780871727,0.39542359209200073
GROUND,1752846570.3788595,-0.3073041339882021,0.39469201805044374
GROUND,1752846570.3910925,-0.30757998225437344,0.3939683907611208
GROUND,1752846570.4032614,-0.3078045040673705,0.39349141915883123
GROUND,1752846570.415215,-0.3081305843134019,0.39288787700778316
GROUND,1752846570.427386,-0.3084658478083635,0.3922835713786016
GROUND,1752846570.4388106,-0.30869465962516385,0.3915925197222947
GROUND,1752846570.4523122,-0.30903182390868755,0.3911302281192325
GROUND,1752846570.4631827,-0.30936776651760534,0.39065743407580844
GROUND,1752846570.4749067,-0.30968965703709994,0.3898088643305042
GROUND,1752846570.4871516,-0.31015051164631213,0.38935101036809694
GROUND,1752846570.4988241,-0.31065767762343377,0.38858136027552503
GROUND,1752846570.5125191,-0.3111270401083921,0.38756660907664775
GROUND,1752846570.5232143,-0.3117100086989488,0.3866371254804851
GROUND,1752846570.5359645,-0.31220133287139573,0.38538117937139127
GROUND,1752846570.5470378,-0.31262307726061866,0.38386595734356543
GROUND,1752846570.5592659,-0.31322497426391926,0.3826610862786656
GROUND,1752846570.5709672,-0.31378618243828704,0.381332864174061
GROUND,1752846570.5831678,-0.31426490531135,0.3802520995887404
GROUND,1752846570.595328,-0.3147976108292405,0.37923907973424764
GROUND,1752846570.6073918,-0.31533950518068066,0.3779604069484327
GROUND,1752846570.6190882,-0.31594890116815266,0.3768049092719161
GROUND,1752846570.6311803,-0.31659187691003066,0.3756581099034928
GROUND,1752846570.643162,-0.31719436230049913,0.37436181291090054
GROUND,1752846570.6549177,-0.317937976063698,0.3734291782185428
GROUND,1752846570.6675346,-0.318571199364337,0.3721293396505482
GROUND,1752846570.6791961,-0.3192314838193755,0.37073794698564977
GROUND,1752846570.69088,-0.31986849571839837,0.36922723556826464
GROUND,1752846570.7029858,-0.32048590729453874,0.36808899118699057
GROUND,1752846570.7152605,-0.32102748245196544,0.36680289189815196
GROUND,1752846570.727314,-0.3215558030720511,0.36546061625141457
GROUND,1752846570.7389662,-0.3220248109126067,0.36425804887172397
GROUND,1752846570.753451,-0.3225977426920634,0.36283482687409774
GROUND,1752846570.76487,-0.323121771906405,0.3620708204203349
GROUND,1752846570.777111,-0.3235987790867245,0.36094614629786637
GROUND,1752846570.7893,-0.3242085060649669,0.35979358158117203
GROUND,1752846570.802055,-0.3248519432411934,0.35882334332172916
GROUND,1752846570.8140802,-0.32534647281068585,0.35804778559541117
GROUND,1752846570.8272235,-0.3257748733439336,0.35717532800032814
GROUND,1752846570.83695,-0.3262153023394765,0.3563711436037731
GROUND,1752846570.8491478,-0.3266993237553728,0.35558672923395873
GROUND,1752846570.8608522,-0.32707085443289374,0.3548286589335453
GROUND,1752846570.8732545,-0.3274058148932535,0.35417878975232686
GROUND,1752846570.8852537,-0.32764326318871273,0.3534620850508541
GROUND,1752846570.896925,-0.32798734600879786,0.35277031225219857
GROUND,1752846570.9091349,-0.32829199596611236,0.3523363783416361
GROUND,1752846570.9207654,-0.32858667818829623,0.35161573559095716
GROUND,1752846570.93293,-0.32887007983327443,0.3511538063822345
GROUND,1752846570.9468741,-0.3292543425709793,0.35059937688766973
GROUND,1752846570.9590287,-0.3294400424991606,0.3499801170489786
GROUND,1752846570.9712255,-0.3297301563399868,0.3495621544338273
GROUND,1752846570.9828582,-0.3300384351521757,0.3491125013595886
GROUND,1752846570.995029,-0.33028444575565086,0.3485897359019302
GROUND,1752846571.007221,-0.3305097912977373,0.34793492845080765
GROUND,1752846571.0188205,-0.33089483849025214,0.3476653291506593
GROUND,1752846571.0309417,-0.3310448146931311,0.34723242355518547
GROUND,1752846571.0432348,-0.3310559672374014,0.34709055960555624
GROUND,1752846571.0548902,-0.3308575838876848,0.3471748633287197
GROUND,1752846571.0671043,-0.3306722777853044,0.34744043928746915
GROUND,1752846571.0793176,-0.33044413984419485,0.34761691511554504
GROUND,1752846571.0909145,-0.3302352178151047,0.3473517732068804
GROUND,1752846571.1030972,-0.32994634535341794,0.34714268548948213
GROUND,1752846571.115254,-0.3297641512163252,0.3473509592886531
GROUND,1752846571.1268437,-0.32965025710014473,0.34771393458092603
GROUND,1752846571.1390188,-0.32951536219682165,0.34786577549478226
GROUND,1752846571.1511846,-0.32938713401813535,0.34813768607398765
GROUND,1752846571.1628177,-0.3292734722159629,0.34821635621821445
GROUND,1752846571.174991,-0.32924188950225863,0.34833244776966144
GROUND,1752846571.187164,-0.32923116811631736,0.348402214523863
GROUND,1752846571.198788,-0.3290986600562795,0.3481988637006994
GROUND,1752846571.2110069,-0.3291737260738592,0.3484843827197548
GROUND,1752846571.2231555,-0.3291504355130659,0.34835539848476205
GROUND,1752846571.2347755,-0.32911817519970743,0.34834333864851297
GROUND,1752846571.246939,-0.3291469115223755,0.3483404417134267
GROUND,1752846571.261867,-0.3291244518198977,0.3482740571896181
GROUND,1752846571.274039,-0.3291999354999864,0.34864372221458106
GROUND,1752846571.2861943,-0.329099819974088,0.3483417986890086
GROUND,1752846571.2978141,-0.3290898130226694,0.3482911985391274
GROUND,1752846571.3099763,-0.32919037365583437,0.3484993307168449
GROUND,1752846571.322178,-0.32919160394047964,0.34858048240633266
GROUND,1752846571.3359652,-0.3291330107723822,0.34837086105620196
GROUND,1752846571.347607,-0.32914037628168025,0.3482987448000352
GROUND,1752846571.3580866,-0.32911200265593354,0.3483019084366268
